Join_Count,TARGET_FID,xid,price202403,p_x_y,DB4201T_ID,label,KMeamsID,Krigin
1,3846,2610516264.000000000000000,19801,19801_114.3438671_30.56895153,47,40,114,23
1,3847,2610618104.000000000000000,13184,13184_114.2763127_30.58512065,17,20,67,18
1,3848,2610866254.000000000000000,32106,32106_114.3370651_30.5522202,57,21,76,24
1,3849,2610866242.000000000000000,19226,19226_114.3183587_30.55528871,55,30,88,21
1,3850,2610866234.000000000000000,15227,15227_114.3506065_30.57202201,47,40,114,22
1,3851,2610866214.000000000000000,14702,14702_114.36439_30.57400866,47,40,114,20
1,3852,2610866160.000000000000000,16182,16182_114.2901446_30.55076735,49,30,88,19
1,3853,2610866062.000000000000000,18407,18407_114.3081154_30.56293411,43,30,88,21
1,3854,2610866030.000000000000000,13628,13628_114.3103405_30.5763619,43,30,88,21
1,3855,2610859734.000000000000000,20392,20392_114.3096599_30.57711937,43,30,88,21
1,3856,2610832188.000000000000000,32812,32812_114.334212_30.57560651,46,1,23,22
1,3857,2610831302.000000000000000,17598,17598_114.3281176_30.58400555,45,0,7,20
1,3858,2610822626.000000000000000,27683,27683_114.3398074_30.56038655,47,41,124,25
1,3859,2610822558.000000000000000,14074,14074_114.3250803_30.58246402,45,0,7,20
1,3860,2610796020.000000000000000,14937,14937_114.3167731_30.54401622,56,20,66,20
1,3861,2610786700.000000000000000,18889,18889_114.3209485_30.54119998,56,20,66,22
1,3862,2610786682.000000000000000,23673,23673_114.3200114_30.53745517,56,20,66,22
1,3863,2610771578.000000000000000,15420,15420_114.3536847_30.5612195,47,40,114,22
1,3864,2610673716.000000000000000,29490,29490_114.3290246_30.55186652,55,21,76,22
1,3865,2610613742.000000000000000,27258,27258_114.2552596_30.5997527,18,30,89,20
1,3866,2610924790.000000000000000,26980,26980_114.3416354_30.54259457,57,21,76,25
1,3867,2610924566.000000000000000,32515,32515_114.33841_30.55126465,57,21,76,25
1,3868,2610887394.000000000000000,26370,26370_114.3326416_30.59126272,45,0,7,20
1,3869,2610901340.000000000000000,20832,20832_114.3225611_30.53872896,56,20,66,22
1,3870,2610900350.000000000000000,49660,49660_114.33841_30.55126465,57,21,76,25
1,3871,2610892652.000000000000000,16439,16439_114.292961_30.54947767,49,30,88,20
1,3872,2610892090.000000000000000,23259,23259_114.2958599_30.55360791,49,30,88,20
1,3873,2610887764.000000000000000,22751,22751_114.3554964_30.54775464,181,40,114,21
1,3874,2610883012.000000000000000,28319,28319_114.2949877_30.54946204,49,30,88,20
1,3875,2610882138.000000000000000,29181,29181_114.3372865_30.55176276,57,21,76,24
1,3876,2610881478.000000000000000,31519,31519_114.3415221_30.55294835,57,41,124,24
1,3877,2610880704.000000000000000,15409,15409_114.3022653_30.53407624,52,10,36,19
1,3878,2610874364.000000000000000,16480,16480_114.3056094_30.56259771,43,30,88,21
1,3879,2610872922.000000000000000,20720,20720_114.3044398_30.51492732,53,10,36,20
1,3880,2610872918.000000000000000,29303,29303_114.2955135_30.5410519,50,30,88,20
1,3881,2610867428.000000000000000,27462,27462_114.3263479_30.58655656,45,0,7,21
1,3882,2610867280.000000000000000,11400,11400_114.3193665_30.57515807,46,0,7,20
1,3883,2610866996.000000000000000,15411,15411_114.3045683_30.53969889,50,30,88,19
1,3884,2610866274.000000000000000,21724,21724_114.2973101_30.53825921,50,30,88,20
1,3885,2610612622.000000000000000,23090,23090_114.2705094_30.60359792,19,0,8,20
